# http://dcc.dickinson.edu/grammar/latin/classified-lists-verbs-3rd-conjugation
# From Allen and Greenough's Latin Grammar.
# -cendō, -cendī, -cēns-  kindle
# -cumbō, -cubuī, -cubit-  lie down
# -cutiō, -cussī, -cuss-  shake
# -dō, -didī, -dit- (as in ab-dō, etc., with crēdō, vēndō)  put
# -fendō, -fendī, -fēns-  ward off
# -flīgō, -flīxī, -flīct-, —  smite
# -liciō, -lexī, -lect-, (ēlicuī, -licit-)  entice
# -nuō, -nuī, —  nod
# -spiciō, -spexī, -spect-  view
# -stinguō, -stīnxī, -stīnct-  quench
tegō, tēxī, tēct-  shelter
temnō, tempsī, tempt-  despise
tendō, tetendī, tent-  stretch
tergō, tersī, ters-  wipe
terō, trīvī, trīt- rub
texō, texuī, text-  weave
tingō, tīnxī, tīnct-  stain
trahō, trāxī, trāct-  drag
tremō, tremuī, —  tremble
tribuō, tribuī, tribūt-  assign
trūdō, trūsī, trūs-  thrust
tundō, tutudī, tūns-  beat
unguō, ūnxī, ūnct-  anoint
vehō, vēxī, vect-  draw
vellō, vellī, vuls-  pluck
verrō, verrī, vers-  sweep
vertō, vertī, vers-  turn
vincō, vīcī, vict- conquer
volvō, volvī, volūt-  turn
vomō, vomuī, —  vomit
vādō, vāsī, vās-  go
vīsō, vīsī, vīs-  visit
vīvō, vīxī, vīct-  live
ēmungō, ēmūnxī, ēmūnct-  clean out
īcō, īcī, ict-  hit
ūrō, ussī, ust-  burn
ferō, tulī, lāt  bear
